"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Open Access","Source","EID"
"Becchetti L.; Bergamini L.; Ficarola F.; Vitaletti A.","Becchetti, Luca (56218807100); Bergamini, Lorenzo (36665811800); Ficarola, Francesco (55210769400); Vitaletti, Andrea (6506463530)","56218807100; 36665811800; 55210769400; 6506463530","Population protocols on real social networks","2012","Proceedings of the 5th Workshop on Social Network Systems, SNS'12","","","","","","","3","10.1145/2181176.2181191","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860715568&doi=10.1145%2f2181176.2181191&partnerID=40&md5=666496ab6d09dcdf486c108be429b83a","In this paper we present an experimental analysis to assess the performance of Population Protocols, a well-known fully decentralized computational model, on a real, evolving social network. © 2012 Authors.","population protocols; social networks","Computational model; Experimental analysis; Social Networks; Social networking (online)","Conference paper","","Scopus","2-s2.0-84860715568"
"Di Zenise M.S.; Vitaletti A.; Argles D.","Di Zenise, Michele Schiano (37261280100); Vitaletti, Andrea (6506463530); Argles, David (16229289300)","37261280100; 6506463530; 16229289300","A user-centric approach to eCertificate for electronic identities (eIDs) management in mobile environment","2011","World Congress on Internet Security, WorldCIS-2011","","","5749850","198","203","5","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955926741&partnerID=40&md5=786a230de0c8ce0e9618d0e9a7ab516c","The use of electronic documents is constantly growing and the necessity to implement an ad-hoc eCertificate which manages access to private information is not only required but also necessary. This paper presents a protocol for the management of electronic identities (eIDs), meant as a substitute for the paper-based IDs, in a mobile environment with a user-centric approach. Mobile devices have been chosen because they provide mobility, personal use and high computational complexity. The inherent user-centricity also allows the user to personally manage the ID information and to display only what is required. The chosen path to develop the protocol is to migrate the existing eCert technologies implemented by the Learning Societies Laboratory in Southampton. By comparing this protocol with the analysis of the eID problem domain, a new solution has been derived which is compatible with both systems without loss of features. © 2011 WorldCIS.","","Computational complexity; Environmental management; Internet; Internet protocols; Mobile devices; Security of data; Telecommunication networks; Word processing; Electronic document; Electronic identity; Mobile environments; New solutions; Personal use; Private information; Problem domain; User-centric; Electronic document exchange","Conference paper","","Scopus","2-s2.0-79955926741"
"Monica P.D.; Visconti I.; Vitaletti A.; Zecchini M.","Monica, Pierpaolo Della (59716731800); Visconti, Ivan (8951609400); Vitaletti, Andrea (6506463530); Zecchini, Marco (57215119316)","59716731800; 8951609400; 6506463530; 57215119316","Trust Nobody: Privacy-Preserving Proofs for Edited Photos with Your Laptop","2025","Proceedings - IEEE Symposium on Security and Privacy","","","","4624","4642","18","1","10.1109/SP61157.2025.00014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009323268&doi=10.1109%2fSP61157.2025.00014&partnerID=40&md5=9b59348c423cc3522e1bf5e9ee7b913c","The Internet has plenty of images that are transformations (e.g., resize, blur) of confidential original images. Several scenarios (e.g., selling images over the Internet, fighting disinformation, detecting deep fakes) would highly benefit from systems allowing to verify that an image is the result of a transformation applied to a confidential authentic image. In this paper, we focus on systems for proving and verifying the correctness of transformations of authentic images guaranteeing: 1) confidentiality (i.e., the original image remains private), 2) efficient proof generation (i.e., the proof certifying the correctness of the transformation can be computed with a common laptop) even for high-resolution images, 3) authenticity (i.e., only the advertised transformations have been applied) and 4) fast detection of fraud proofs.. Our contribution consists of new definitions modelling confidentiality and adaptive adversaries, techniques to speed up the prover of a ZK-snark, an efficient construction relying on ad-hoc signatures and hashes, and a less efficient construction that works according to signatures and hashes included in the C2PA specifications. Experimental results confirm the viability of our approach, allowing to compute an authentic transformation of a high-resolution image on a common computer. Prior results instead either require expensive computing resources or provide unsatisfying confidentiality.  © 2025 IEEE.","","Network security; Privacy-preserving techniques; Adaptive adversary; Computing resource; Efficient construction; Fast detections; High-resolution images; Original images; Privacy preserving; Speed up; Authentication","Conference paper","","Scopus","2-s2.0-105009323268"
"Becchetti L.; Marchetti-Spaccamela A.; Vitaletti A.; Korteweg P.; Skutella M.; Stougie L.","Becchetti, Luca (56218807100); Marchetti-Spaccamela, Alberto (7004071298); Vitaletti, Andrea (6506463530); Korteweg, Peter (15056237600); Skutella, Martin (55913348600); Stougie, Leen (6701776895)","56218807100; 7004071298; 6506463530; 15056237600; 55913348600; 6701776895","Latency-constrained aggregation in sensor networks","2009","ACM Transactions on Algorithms","6","1","13","","","","29","10.1145/1644015.1644028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74049128688&doi=10.1145%2f1644015.1644028&partnerID=40&md5=3b955e6212ae6a26b6467e6de16eb665","A sensor network consists of sensing devices which may exchange data through wireless communication; sensor networks are highly energy constrained since they are usually battery operated. Data aggregation is a possible way to save energy consumption: nodes may delay data in order to aggregate them into a single packet before forwarding them towards some central node (sink). However, many applications impose constraints on the maximum delay of data; this translates into latency constraints for data arriving at the sink. We study the problem of data aggregation to minimize maximum energy consumption under latency constraints on sensed data delivery, and we assume unique communication paths that form an intree rooted at the sink. We prove that the offline problem is strongly NP-hard and we design a 2-approximation algorithm. The latter uses a novel rounding technique. Almost all real-life sensor networks are managed online by simple distributed algorithms in the nodes. In this context we consider both the case in which sensor nodes are synchronized or not. We assess the performance of the algorithm by competitive analysis. We also provide lower bounds for the models we consider, in some cases showing optimality of the algorithms we propose. Most of our results also hold when minimizing the total energy consumption of all nodes. © 2009 ACM.","Competitive analysis; Data aggregation; Distributed algorithms; Wireless sensor networks","Approximation algorithms; Computational complexity; Data handling; Electric load forecasting; Sensor networks; Sensor nodes; Telecommunication equipment; Wireless telecommunication systems; Communication path; Competitive analysis; Data aggregation; Data delivery; Distributed algorithm; Distributed algorithms; Energy consumption; Energy-constrained; Latency constraints; Lower bounds; Maximum delay; Off-line problems; Optimality; Save energy; Sensing devices; Strongly NP-hard; Total energy consumption; Wireless communications; Wireless sensor networks","Article","All Open Access; Green Open Access","Scopus","2-s2.0-74049128688"
"Becchetti L.; Korteweg P.; Marchetti-Spaccamela A.; Skutella M.; Stougie L.; Vitaletti A.","Becchetti, Luca (56218807100); Korteweg, Peter (15056237600); Marchetti-Spaccamela, Alberto (7004071298); Skutella, Martin (55913348600); Stougie, Leen (6701776895); Vitaletti, Andrea (6506463530)","56218807100; 15056237600; 7004071298; 55913348600; 6701776895; 6506463530","Latency constrained aggregation in sensor networks","2006","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","4168 LNCS","","","88","99","11","22","10.1007/11841036_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750704277&doi=10.1007%2f11841036_11&partnerID=40&md5=76a81c001f49d7fcc9a0c405b59c0f4b","A sensor network consists of sensing devices which may exchange data through wireless communication; sensor networks are highly energy constrained since they are usually battery operated. Data aggregation is a possible way to save energy consumption: nodes may delay data in order to aggregate them into a single packet before forwarding them towards some central node (sink). However, many applications impose constraints on data freshness; this translates into latency constraints for data arriving at the sink. We study the problem of data aggregation to minimize maximum energy consumption under latency constraints on sensed data delivery and we assume unique transmission paths that form a tree rooted at the sink. We prove that the off-line problem is strongly NP-hard and we design a 2-approximation algorithm. The latter uses a novel rounding technique. Almost all real life sensor networks are managed on-line by simple distributed algorithms in the nodes. In this context we consider both the case in which sensor nodes are synchronized or not. We consider distributed on-line algorithms and use competitive analysis to assess their performance. © Springer-Verlag Berlin Heidelberg 2006.","","Algorithms; Computer networks; Constraint theory; Data communication systems; Data transfer; Energy utilization; Mobile computing; Problem solving; Data aggregation; Data deliveries; Energy constrained; Sensor networks; Sensor data fusion","Conference paper","","Scopus","2-s2.0-33750704277"
"Pizzonia M.; Vitaletti A.","Pizzonia, Maurizio (6603249368); Vitaletti, Andrea (6506463530)","6603249368; 6506463530","Preface","2022","CEUR Workshop Proceedings","3166","","","3","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134329176&partnerID=40&md5=f95e799c04e1e0fdb3fa972740580f08","[No abstract available]","","","Editorial","","Scopus","2-s2.0-85134329176"
"Chatzigiannakis I.; Colesanti U.; Kontogiannis S.; Leshem G.; Marchetti-Spaccamela A.; Mehler J.; Persiano G.; Spirakis P.; Vitaletti A.","Chatzigiannakis, Ioannis (6602645904); Colesanti, Ugo (24073192000); Kontogiannis, Spyros (12753792500); Leshem, Guy (37057651300); Marchetti-Spaccamela, Alberto (7004071298); Mehler, Jan (57214017818); Persiano, Giuseppe (57194444388); Spirakis, Paul (7006460839); Vitaletti, Andrea (6506463530)","6602645904; 24073192000; 12753792500; 37057651300; 7004071298; 57214017818; 57194444388; 7006460839; 6506463530","MURPESS - MUlti radio pedestrian energy scavenging sensor network","2010","eChallenges e-2010 Conference","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957494963&partnerID=40&md5=d60ea94e0bb541fae082060cf7ecfe34","We present and discuss challenges and solutions posed by the design of an adaptable network infrastructure of tiny artifacts. Such artifacts are characterized by severe limitations in computational power, communications capacity and energy; nevertheless they must realize a communication infrastructure able to deliver services to the end-users in a very dynamic and challenging environment. Namely we present one unifying scenario for the activities of the FRONTS project (www.fronts.cti.gr). The aim of the unifying scenario is to show how the results achieved in the project can be exploited to build such a communication infrastructure. Copyright © 2010 The Authors.","","Communication infrastructure; Computational power; End-users; Energy scavenging; Multi-radio; Network infrastructure; Sensor networks","Conference paper","","Scopus","2-s2.0-79957494963"
"Ariemma L.; De Carlo N.; Pennino D.; Pizzonia M.; Vitaletti A.; Zecchini M.","Ariemma, Lorenzo (57202991645); De Carlo, Niccolò (57807655800); Pennino, Diego (57207940361); Pizzonia, Maurizio (6603249368); Vitaletti, Andrea (6506463530); Zecchini, Marco (57215119316)","57202991645; 57807655800; 57207940361; 6603249368; 6506463530; 57215119316","Blockchain for the supply chain of the Italian craft beer sector: tracking and discount coupons","2023","International Journal of Parallel, Emergent and Distributed Systems","","","","","","","2","10.1080/17445760.2023.2190974","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153385946&doi=10.1080%2f17445760.2023.2190974&partnerID=40&md5=dcf9d7ef1572e80097f3b02d0bf34868","In the Italian craft beer market, many breweries and pubs propose a large number of products to beerlovers. In this highly fragmented market, it is hard for the beerlovers to assess the quality of a beer and it is hard for breweries and pubs to inform the beerlover of the quality of their offer. Supply chain tracking is an interesting tool to improve transparency of food markets. However, standard tracking approaches are challenging in highly fragmented contexts for several reasons. In this paper, we show how it is possible to realize a blockchain-based supply chain tracking tailored for the highly fragmented sector of the Italian craft beer. We collaborated with one of the players of that market to analyse the specific problems of that context and we report the results. We show a design that addresses those problems and might be generalized to support tracking in other highly fragmented sectors. We estimate costs and that turn out to be affordable for that sector. Finally, we discuss the adoption of the same blockchain infrastructure to provide a related blockchain-based discount coupon systems, we analyse the advantages of this approach, and we discuss some design aspects to deal with privacy regulation. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","Blockchain; blockchain-based; coupon; supply chain; tracking","Beer; Blockchain; Commerce; Block-chain; Blockchain-based; Coupon; Estimate cost; Food markets; Privacy regulation; Specific problems; Tracking; Tracking approaches; Supply chains","Article","","Scopus","2-s2.0-85153385946"
"Vitaletti A.; Pizzonia M.; Zecchini M.; Pennino D.; De Falco S.E.; Pacileo F.; Bellini A.; Bonifacio A.; Sardanelli D.; Vito P.; Naldini S.","Vitaletti, Andrea (6506463530); Pizzonia, Maurizio (6603249368); Zecchini, Marco (57215119316); Pennino, Diego (57207940361); De Falco, Salvatore Esposito (57219594913); Pacileo, Francesco (57806706700); Bellini, Alessandro (57212381311); Bonifacio, Antonio (57806867100); Sardanelli, Domenico (57202300953); Vito, Pietro (57205022856); Naldini, Simone (56039817200)","6506463530; 6603249368; 57215119316; 57207940361; 57219594913; 57806706700; 57212381311; 57806867100; 57202300953; 57205022856; 56039817200","On-chain global maintenance services: technical, legal and managerial implications","2023","International Journal of Parallel, Emergent and Distributed Systems","","","","","","","2","10.1080/17445760.2023.2192933","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153480959&doi=10.1080%2f17445760.2023.2192933&partnerID=40&md5=a6c49f39fcf23b2298939ce01f805bd3","Facility management deals with all activities that are not core business for a company and are consequently outsourced to specialized companies. Maintenance is a fundamental activity in facility management and it is often handled by Global Maintenance Services (GMS) where some maintenance activities are delegated by the company to service providers and are remunerated according to measurable results expressed as Key Performance Indicators. In this context, it would be desirable to have information systems trustable by all involved actors. In this paper, we discuss the design of a blockchain solution capable to support a GMS on-chain. We first introduce the GMS concept and how it is related to the Principal-Agent relationship, and then we show a reference architecture to implement GMS on-chain. We discuss a use case and a proof-of-concept of on-chain GMS in a hospital showing how smart contracts and oracles can be used in this context. We finally discuss the main legal and managerial implications of the proposed approach. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","blockchain; legal implications; Maintanance; managerial implications; oracle; sensors; smart contract","Benchmarking; Blockchain; Maintenance; Office buildings; Block-chain; Core business; Facilities management; Legal implications; Maintanance; Maintenance activity; Maintenance services; Managerial implications; Oracle; Technical implications; Smart contract","Article","","Scopus","2-s2.0-85153480959"
"Pennino D.; Pizzonia M.; Vitaletti A.; Zecchini M.","Pennino, Diego (57207940361); Pizzonia, Maurizio (6603249368); Vitaletti, Andrea (6506463530); Zecchini, Marco (57215119316)","57207940361; 6603249368; 6506463530; 57215119316","Efficient certification of endpoint control on blockchain","2021","IEEE Access","9","","","133309","133334","25","7","10.1109/ACCESS.2021.3115343","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115801703&doi=10.1109%2fACCESS.2021.3115343&partnerID=40&md5=a5a0f380e74ec88f457062ba146b1c45","Proving that an endpoint (e.g. URL, telephone number, etc.) is controlled by a subject is crucial in many applications. In the web, this is witnessed by the widespread adoption of HTTPS. In centralized architectures, this task is usually carried out by trusted certification authorities (CAs). In decentralized applications, for example based on blockchains, or for self-sovereign identity management (SSI), it would be desirable to perform these checks in a decentralized way, relying on the collective behavior of a society of individuals rather than on a single trusted entity. In any case, the result should be a widely usable certificate, as in the centralized CA case. In this paper, we show two blockchain-based methods to prove the association between a subject and an endpoint in a decentralized manner. Our methods are compatible with a wide variety of endpoints and contribute to fill the gap of the current SSI approaches with respect to decentralization. We analyze the security of our proposal and provide a proof-of-concept implementation. We also evaluate performances, costs, and compatibility with current standardization efforts about SSI.  © 2013 IEEE.","Blockchain; Decentralized blockchain oracle; Decentralized certification authority; Digital certificate; Endpoint; Identity management; Self-sovereign identity","Authentication; HTTP; Block-chain; Certification authorities; Decentralised; Decentralized blockchain oracle; Decentralized certification authority; Digital certificates; Endpoint; Identity management; Public keys; Self-sovereign identity; Blockchain","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85115801703"
"Cirillo A.; Mauro A.; Pennino D.; Pizzonia M.; Vitaletti A.; Zecchini M.","Cirillo, Albenzio (24733789900); Mauro, Antonio (57219284787); Pennino, DIego (57207940361); Pizzonia, Maurizio (6603249368); Vitaletti, Andrea (6506463530); Zecchini, Marco (57215119316)","24733789900; 57219284787; 57207940361; 6603249368; 6506463530; 57215119316","Decentralized robinson list","2020","CRYBLOCK 2020 - Proceedings of the 3rd Workshop on Cryptocurrencies and Blockchains for Distributed Systems, Part of MobiCom 2020","","","3413790","1","6","5","4","10.1145/3410699.3413790","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092024118&doi=10.1145%2f3410699.3413790&partnerID=40&md5=e3009adaba5a27987d159b1a17644f7c","A Robinson list protects users' privacy against the always more frequent spam calls by allowing them to express a consent or a denial about market operator calls. Nowadays, Robinson lists run as centralised services. In this paper we discuss the possibility of implementing this valuable tool as a decentralised service. We identify the requirements of a decentralised Robinson list and the characteristics of a blockchain technology needed to support an implementation. Then, we present a general solution and a proof-of-concept implementation based on the Algorand technology. A preliminary performance evaluation suggest that also in terms of performance we can achieve satisfactory results. The paper is concluded discussing some fundamental aspects related to privacy and identity management and presenting a number of open research challenges that need to be addressed for a successful development of our solution.  © 2020 ACM.","","Blockchain; Cryptocurrency; Research and development management; Centralised; Decentralised; General solutions; Identity management; Market operators; Proof of concept; Research challenges; Robinson; Privacy by design","Conference paper","","Scopus","2-s2.0-85092024118"
"Becchetti L.; Filipponi L.; Vitaletti A.","Becchetti, Luca (56218807100); Filipponi, Luca (24400983000); Vitaletti, Andrea (6506463530)","56218807100; 24400983000; 6506463530","Privacy support in people-centric sensing","2012","Journal of Communications","7","SPL.ISS. 8","","606","621","15","2","10.4304/jcm.7.8.606-621","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866749563&doi=10.4304%2fjcm.7.8.606-621&partnerID=40&md5=a4b43c465e75dd7bfa5314d96b66af13","In this paper we present an approach to support privacy in people-centric sensing. In particular, we propose a technique that allows a central authority to select a subset of users whose past positions provide a good coverage of a given area of interest, without explicitly geo referencing them. To achieve this goal, we propose an efficient algorithm to solve the well known, NP-complete Set Cover problem that does not require explicit knowledge of the sets, but only uses their compact, privacy preserving representations or sketches. We perform a thorough experimental analysis to evaluate the performance of the proposed technique and its sensitivity to a few key parameters using public data from real applications. Experimental results support the effectiveness of the proposed approach to efficiently produce accurate environmental or social maps, at the same time preserving users' privacy. © 2012 ACADEMY PUBLISHER.","Data privacy; Efficient data representation; People centric sensing","Algorithms; Area of interest; Data representations; Experimental analysis; Explicit knowledge; Georeferencing; Key parameters; NP Complete; People centric sensing; Privacy preserving; Public data; Real applications; Set cover problem; Data privacy","Article","","Scopus","2-s2.0-84866749563"
"Pennisi A.; Previtali F.; Gennari C.; Bloisi D.D.; Iocchi L.; Ficarola F.; Vitaletti A.; Nardi D.","Pennisi, Andrea (55364475800); Previtali, Fabio (56210921700); Gennari, Cristiano (56651851300); Bloisi, Domenico D. (57189023230); Iocchi, Luca (6602922345); Ficarola, Francesco (55210769400); Vitaletti, Andrea (6506463530); Nardi, Daniele (7006582655)","55364475800; 56210921700; 56651851300; 57189023230; 6602922345; 55210769400; 6506463530; 7006582655","Multi-robot surveillance through a distributed sensor network","2015","Studies in Computational Intelligence","604","","","77","98","21","10","10.1007/978-3-319-18299-5_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929630291&doi=10.1007%2f978-3-319-18299-5_4&partnerID=40&md5=e3a4c46074d758eaa300b5abc0c34d62","Automatic surveillance of public areas, such as airports, train stations, and shopping malls, requires the capacity of detecting and recognizing possible abnormal situations in populated environments. In this book chapter, an architecture for intelligent surveillance in indoor public spaces, based on an integration of interactive and non-interactive heterogeneous sensors, is described. As a difference with respect to traditional, passive and pure vision-based systems, the proposed approach relies on a distributed sensor network combining RFID tags, multiple mobile robots, and fixed RGBD cameras. The presence and the position of people in the scene is detected by suitably combining data coming from the sensor nodes, including those mounted on board of the mobile robots that are in charge of patrolling the environment. The robots can adapt their behavior according to the current situation, on the basis of a Prey-Predator scheme, and can coordinate their actions to fulfill the required tasks. Experimental results have been carried out both on real and on simulated data to show the effectiveness of the proposed approach. © Springer International Publishing Switzerland 2015","Mobile robots; Multi-robot surveillance; Multi-robot systems; Wireless sensor networks","","Article","","Scopus","2-s2.0-84929630291"
"Di Cagno A.; Paoli M.; Colesanti U.M.; Vitaletti A.","Di Cagno, Andrea (56297870900); Paoli, Mario (56040223600); Colesanti, Ugo Maria (24073192000); Vitaletti, Andrea (6506463530)","56297870900; 56040223600; 24073192000; 6506463530","REACTIVE: A peaceful coexistence between deluge and Low Power Listening","2014","2014 12th International Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks, WiOpt 2014","","","6850291","137","142","5","1","10.1109/WIOPT.2014.6850291","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905058203&doi=10.1109%2fWIOPT.2014.6850291&partnerID=40&md5=071821605a333d75ac9e297ec5c0215c","In this paper we analyze the interaction between two communication protocols implemented in TinyOS 2.x: Deluge T2, an over-the-air programming protocol, and the Low Power Listening (LPL) implementation provided with the standard Medium Access Control layer, BoX-MAC. We show how the characteristics of the two layers deeply diverge, leading to a sensible performance degradation. We present REACTIVE, a simple algorithm that, integrated in Deluge, is able to dynamically disable and re-enable LPL in order to boost Deluge performance, leveraging on the critical aspects of the layers integration. REACTIVE is able to increase the performance of Deluge, compared to its standard implementation, by a factor of 2.6 in terms of energy efficiency and 7 in terms of dissemination time. © 2014 IFIP.","","Energy efficiency; Medium access control; Its standards; Low power listening; Medium access control layer; Performance degradation; SIMPLE algorithm; Wireless networks","Conference paper","","Scopus","2-s2.0-84905058203"
"Massri K.; Beraldi R.; Vitaletti A.","Massri, Khalil (16031503700); Beraldi, Roberto (6701602185); Vitaletti, Andrea (6506463530)","16031503700; 6701602185; 6506463530","Erasure-coding based data delivery in delay tolerant networks","2013","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","8121 LNCS","","","188","200","12","0","10.1007/978-3-642-40316-3_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885759216&doi=10.1007%2f978-3-642-40316-3_17&partnerID=40&md5=339a98b8be843f92e68740ccd5f65753","We consider the data delivery problem in delay tolerant networks, where a data content is located in a fixed source need to be delivered to a specific destination. We assume nodes have limited storage and computational capabilities. In this paper, we initially, explore the data delivery problem, for both unbiased and biased contact models. Based on our observations, we propose a data delivery scheme that can reduce both storage overhead and delivery delay. Our scheme combines erasure coding technique and the framework of simulated annealing optimization, in order to maximize the content delivery probability to the destination. © 2013 Springer-Verlag.","Delay Tolerant Networks (DTNs); Erasure Coding; Routing","Digital storage; Internet; Simulated annealing; Wireless networks; Computational capability; Content delivery; Delaytolerant networks (DTNs); Erasure coding; Limited storage; Routing; Simulated annealing optimization; Storage overhead; Delay tolerant networks","Conference paper","","Scopus","2-s2.0-84885759216"
"Bergamini L.; Becchetti L.; Vitaletti A.","Bergamini, Lorenzo (36665811800); Becchetti, Luca (56218807100); Vitaletti, Andrea (6506463530)","36665811800; 56218807100; 6506463530","Privacy-preserving environment monitoring in networks of mobile devices","2011","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","6827 LNCS","","","179","191","12","5","10.1007/978-3-642-23041-7_18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052814712&doi=10.1007%2f978-3-642-23041-7_18&partnerID=40&md5=085e2365899ce9844e4868da2c9747b6","Small portable devices carried by users can be exploited to provide useful information through active cooperation. To guarantee privacy, the system should use the information on the device without tracing the user. In this work we address this scenario and we present a privacy-preserving distributed technique to estimate the number of distinct mobile users in a given area. This could be of crucial importance in critical situations, like overcrowded airports or demonstrations where monitoring the number of persons could help organizing emergency countermeasures. In our envisioned scenario users periodically transmit a sketch (i.e. a summary) of the users they met in the past obtained applying suitable, duplicate-insensitive hash functions. Sketches are based on hash functions, so they also provide some kind of privacy, as it is not possible to hardware to show that it works on real devices. © 2011 IFIP International Federation for Information Processing.","Distinct counting; Distributed systems; Privacy-preserving","Cognitive systems; Computer network performance evaluation; Data privacy; Global system for mobile communications; Hash functions; Information use; Mobile devices; Distinct counting; Distributed systems; Distributed techniques; Environment monitoring; Mobile users; Portable device; Privacy preserving; Network coding","Conference paper","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-80052814712"
"Cappiello I.; Puglia S.; Vitaletti A.","Cappiello, Irene (35145401300); Puglia, Stefano (16031907700); Vitaletti, Andrea (6506463530)","35145401300; 16031907700; 6506463530","Design and initial evaluation of a ubiquitous touch-based remote grocery shopping process","2009","Proceedings - 2009 1st International Workshop on Near Field Communication, NFC 2009","","","5190410","9","14","5","14","10.1109/NFC.2009.16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449409261&doi=10.1109%2fNFC.2009.16&partnerID=40&md5=85de06ac3fa344768debfceda4ff526b","Radio Frequency IDentification (RFID) and Near Field Communication (NFC) are promising technologies to build a ubiquitous ""Internet of things"" and related forms of Human Computer Interaction (HCI). We present here a ubiquitous touchbased remote grocery shopping process fitting well with some RFID's and NFC's peculiar benefits and favourable characteristics. We have designed and implemented a ubiquitous software system prototype to test this process with an explicit focus on customers' touch-based interaction. We have evaluated the performance of our process in an initial user study conducted on a limited and heterogeneous group of 25 potential customers. All users, including those who considered themeselves as ""nonexpert"", were able to complete the shopping of a randomly chosen list of 3 RFID tagged items with an NFC phone. Average completion time was around 40 seconds and the tag reading error rate due to any real condition (e.g. noise, interference, orientation) was low. Moreover, 70% of users qualitatively assessed the perceived ease of use of the touch-based interaction mode as high. Finally, a comparative analysis with a simplified Web-based grocery shopping test that the group of customers was also asked to complete seems to confirm the promise and viability of our touch-based process in ubiquitous NFC enabled systems. © 2009 IEEE.","Human computer interaction; NFC; Performance evaluation; RFID; Ubiquitous computing","Customer satisfaction; Human computer interaction; Radio frequency identification (RFID); Sales; Software prototyping; Comparative analysis; Completion time; Grocery shopping; Interaction modes; Internet of things; Near field communications; NFC; Perceived ease of use; Performance evaluation; Potential customers; Reading errors; RFID; Software systems; User study; Ubiquitous computing","Conference paper","","Scopus","2-s2.0-70449409261"
"Zecchini M.; Sober M.; Schulte S.; Vitaletti A.","Zecchini, Marco (57215119316); Sober, Michael (57221482758); Schulte, Stefan (24767006100); Vitaletti, Andrea (6506463530)","57215119316; 57221482758; 24767006100; 6506463530","Building a Cross-Chain Identity: A Self-Sovereign Identity-Based Framework","2023","Proceedings - 2023 IEEE International Conference on Decentralized Applications and Infrastructures, DAPPS 2023","","","","149","156","7","1","10.1109/DAPPS57946.2023.00029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172887014&doi=10.1109%2fDAPPS57946.2023.00029&partnerID=40&md5=f90c57cdc4d8fc8a47cfa3a821a18d58","There is a lack of effort in standardizing how users can connect their identities belonging to different blockchains and how to transfer on-chain data associated with each identity between ledgers. The absence of a general solution for managing a cross-chain identity can cause fragmentation, leading to the possibility of realizing applications that are more prone to security bugs. In this paper, we propose a framework to build a cross-chain identity based on the principles and standards of a new identity management paradigm, i.e., Self-Sovereign Identity (SSI). Promoting the standardization of applications running on the blockchain enhances their security and encourages the adoption of this technology in an increasing number of application contexts. According to the SSI paradigm, users create and update their identities in a blockchain without intermediaries. Following this principle, our framework does not require intermediaries to transfer identity-associated data from a source blockchain to a target blockchain. We realize that using a blockchain relay, an interoperability solution for storing and validating the headers of the source blockchain on the target blockchain. In our paper, we provide a new relay, the StateRelay, reducing the final usage costs for users willing to realize a cross-chain identity. We will show this by comparing its costs, in terms of transaction fees, with the other relay solutions in the literature.  © 2023 IEEE.","Blockchain Interoperability; Blockchain Relay; Cross-chain identity; Self-Sovereign Identity","Interoperability; Program debugging; Block-chain; Blockchain interoperability; Blockchain relay; Cross-chain identity; General solutions; Identity management; Identity-based; Security bugs; Self-sovereign identity; Blockchain","Conference paper","","Scopus","2-s2.0-85172887014"
